movie_title,cast_1_score,cast_2_score,cast_3_score,cast_score
Dreamgirls,0,167,135,302
Christopher Robin,0,0,0,0
Immortals,0,167,0,167
The Terminal,167,217,0,384
Constantine,281,0,0,281
Monster House,0,0,0,0
Vertical Limit,0,0,0,0
Charlie Wilson’s War,301,146,5,452
Abominable,0,0,0,0
Be Cool,64,140,113,317
Munich,180,0,0,180
Killers,203,69,0,272
The Man From U.N.C.L.E.,92,128,33,253
Tears of the Sun,235,0,0,235
Lady in the Water,51,84,0,135
Spanglish,153,92,0,245
Bandits,493,0,63,556
Sucker Punch,0,81,0,81
Hostage,40,0,0,40
Inferno,158,39,0,197
Hollywood Homicide,127,219,39,385
Titan A.E.,0,0,0,0
Flight of the Phoenix,49,0,0,49
Monkeybone,161,24,49,234
PLAYMOBIL,0,0,40,40
Minions,158,0,27,185
The SpongeBob Movie: Sponge Out of Water,0,59,0,59
Unbreakable,0,0,0,0
Talladega Nights: The Ballad of Ricky Bobby,232,0,0,232
The Angry Birds Movie,102,79,44,225
The Simpsons Movie,0,0,0,0
Fool’s Gold,56,60,0,116
Funny People,293,114,0,407
The Kingdom,308,0,57,365
Dr. Dolittle 2,286,0,0,286
Jarhead,0,138,18,156
Driven,0,0,0,0
The Majestic,295,0,0,295
Two Brothers,75,0,0,75
The Village,60,0,0,60
Signs,256,0,0,256
Shrek 2,147,289,194,630
Cars,157,79,0,236
Alvin and the Chipmunks: The Squeakquel,87,0,0,87
It: Chapter Two,46,154,0,200
xXx,112,0,0,112
Ocean’s 8,0,93,128,221
Inglourious Basterds,292,0,0,292
S.W.A.T.,234,2,158,394
Daddy’s Home 2,104,265,59,428
Vanilla Sky,206,0,258,464
Olympus Has Fallen,48,72,92,212
Battle: Los Angeles,0,0,0,0
AVP: Alien Vs. Predator,16,0,0,16
War Horse,0,0,0,0
We Were Soldiers,256,0,19,275
The Monuments Men,170,193,4,367
Storks,0,0,59,59
Big Fish,174,0,0,174
Underworld: Awakening,0,20,0,20
The Lego Ninjago Movie,92,80,0,172
Dracula Untold,112,0,0,112
The Guardian,64,91,0,155
Wall Street 2: Money Never Sleeps,407,0,0,407
The Dilemma,125,139,0,264
Rumor Has It,71,0,0,71
Stardust,0,0,0,0
Rock of Ages,0,0,169,169
Sky Captain and the World of Tomorrow,91,207,152,450
The Brave One,163,0,0,163
I Spy,269,47,0,316
Bad Company,118,96,0,214
Doom,0,0,113,113
The Finest Hours,159,0,0,159
Escape Plan,149,0,0,149
Killer Elite,153,37,107,297
Hart's War,345,0,0,345
Rollerball,173,0,65,238
The Legend of Hercules,69,0,0,69
Next,181,56,29,266
Ballistic: Ecks vs. Sever,126,0,0,126
Osmosis Jones,97,35,0,132
Legends of Oz: Dorothy’s Return,48,0,0,48
Blackhat,308,45,0,353
Basic Instinct 2,0,0,0,0
Agora,45,0,0,45
Despicable Me,160,35,0,195
Dinner for Schmucks,160,71,0,231
Red Sparrow,274,25,0,299
The Twilight Saga: Eclipse,182,182,182,546
The Sum of All Fears,237,64,0,301
Ted 2,327,15,99,441
The Score,291,88,0,379
Hall Pass,248,0,0,248
Dreamcatcher,177,0,15,192
Downsizing,299,30,0,329
Dr. Seuss’ The Lorax,107,66,0,173
Body of Lies,162,158,0,320
Abraham Lincoln: Vampire Hunter,0,0,0,0
The Last Legion,57,0,0,57
The Dark Tower,75,91,0,166
Need for Speed,0,0,0,0
What Women Want,0,0,0,0
Lincoln,9,0,0,9
Ice Age,0,0,0,0
Hotel Transylvania 3: Summer Vacation,70,0,0,70
Les Misérables,166,128,154,448
The Santa Clause 2,59,0,0,59
Unbroken,0,0,21,21
Spy!,141,124,60,325
Due Date,287,91,158,536
Step Brothers,206,0,0,206
Space Cowboys,0,0,0,0
Annie,0,100,146,246
Pete’s Dragon,0,94,0,94
World Trade Center,130,0,0,130
The Kid,0,0,0,0
Mona Lisa Smile,231,56,0,287
The Dictator,122,0,0,122
This Means War,37,144,18,199
Focus,159,0,75,234
Blade: Trinity,69,0,0,69
Red Dawn,86,69,0,155
We Are Marshall,0,0,0,0
Everest,0,0,0,0
Resident Evil: Retribution,121,0,72,193
The Angry Birds Movie 2,0,174,62,236
Death Race,37,0,42,79
Proof of Life,0,0,0,0
Zathura,0,0,23,23
The Missing,213,48,0,261
Elektra,121,0,0,121
Astro Boy,72,264,40,376
"I, Frankenstein",126,44,0,170
Underwater,0,0,0,0
Sin City: A Dame to Kill For,69,16,126,211
Live by Night,82,0,0,82
Lucky Numbers,0,0,0,0
Oliver Twist,0,0,0,0
Tian jiang xiong shi,74,0,52,126
Air Strike,0,0,0,0
Little Man,52,85,0,137
Perfume: The Story of a Murderer,0,94,88,182
Austin Powers in Goldmember,91,0,54,145
Hop,34,56,0,90
American Assassin,0,45,0,45
U-571,0,0,0,0
The Hateful Eight,194,0,0,194
The Love Guru,0,251,0,251
3000 Miles to Graceland,0,118,75,193
Gone Girl,66,74,0,140
Blades of Glory,181,16,0,197
Maze Runner: The Scorch Trials,0,77,77,154
2 Guns,226,221,97,544
Maze Runner: The Death Cure,0,76,76,152
A Dog’s Way Home,0,0,0,0
Mei Ren Yu,54,62,0,116
Meet the Fockers,83,166,0,249
The Lego Movie,0,84,23,107
300,66,55,0,121
Wild Hogs,122,0,105,227
Marley & Me,148,134,0,282
Sully,158,58,0,216
The Bourne Identity,5,231,0,236
Couples Retreat,192,56,0,248
The Italian Job,70,91,168,329
Daddy Day Care,230,0,47,277
Collateral,267,0,0,267
Cats & Dogs,0,96,0,96
Two Weeks Notice,179,94,0,273
The Scorpion King,0,0,141,141
Red,151,46,126,323
Starsky & Hutch,83,78,0,161
Cheaper by the Dozen 2,163,79,144,386
Eat Pray Love,82,107,0,189
Jack Reacher,169,0,0,169
Man on Fire,134,0,0,134
The Family Man,0,0,0,0
Contagion,202,73,107,382
Coraline,65,0,0,65
Ladder 49,0,102,0,102
Michael Jackson's This Is It,0,0,0,0
Kangaroo Jack,44,62,0,106
The Happening,91,0,1,92
London Has Fallen,54,58,246,358
Rules of Engagement,0,0,0,0
The Shaggy Dog,42,0,0,42
Hellboy,0,0,0,0
Jack Reacher: Never Go Back,250,0,62,312
Baywatch,211,112,0,323
Joy,516,52,306,874
ParaNorman,0,61,37,98
Paycheck,256,0,0,256
The Tale of Despereaux,0,199,17,216
The Boxtrolls,208,89,34,331
