title_x,tomatometer_score,audience_score_rt,original_language,MPA_Ratings,release_date_x,budget_x,domestic_gross_x,worldwide_gross_x,release_date,budget,domestic_gross,worldwide_gross,title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id,director
On the Line,19.0,47.0,English,PG,2001-10-26,10000000,4365455,16222303,2001-10-26,10000000,4365455,16222303,On the Line,4.2,Lance Bass,Joey Fatone,Emmanuelle Chriqui,https://www.imdb.com/title/tt0279286/,tt0279286,Julio Quintana
Gotti,0.0,45.0,English,R,2018-06-15,10000000,4286367,6601992,2018-06-15,10000000,4286367,6601992,Gotti,4.7,John Travolta,Spencer Rocco Lofranco,Kelly Preston,https://www.imdb.com/title/tt1801552/,tt1801552,Kevin Connolly
"Jeff, Who Lives at Home",77.0,62.0,English,R,2012-03-16,10000000,4269426,4708127,2012-03-16,10000000,4269426,4708127,"Jeff, Who Lives at Home",6.5,Jason Segel,Ed Helms,Judy Greer,https://www.imdb.com/title/tt1588334/,tt1588334,Jay Duplass
Denial,83.0,71.0,English,PG-13,2016-09-30,10000000,4073448,9263940,2016-09-30,10000000,4073448,9263940,Denial,6.7,Rachel Weisz,Tom Wilkinson,Timothy Spall,https://www.imdb.com/title/tt4645330/,tt4645330,Mick Jackson
The Man Who Knew Infinity,63.0,71.0,English,PG-13,2016-03-11,10000000,3877922,12382122,2016-03-11,10000000,3877922,12382122,The Man Who Knew Infinity,7.2,Dev Patel,Jeremy Irons,Malcolm Sinclair,https://www.imdb.com/title/tt0787524/,tt0787524,Matt Brown
Max Steel,0.0,48.0,English,PG-13,2016-10-14,10000000,3818664,4563080,2016-10-14,10000000,3818664,4563080,Max Steel,4.6,Ben Winchell,Josh Brener,Maria Bello,https://www.imdb.com/title/tt1472584/,tt1472584,Stewart Hendler
Everybody Wants Some,87.0,68.0,English,R,2016-03-30,10000000,3400278,5437126,2016-03-30,10000000,3400278,5437126,Everybody Wants Some,6.9,Blake Jenner,Tyler Hoechlin,Ryan Guzman,https://www.imdb.com/title/tt2937696/,tt2937696,Richard Linklater
Atlas Shrugged: Part II,4.0,60.0,English,PG-13,2012-10-12,10000000,3336053,3336053,2012-10-12,10000000,3336053,3336053,Atlas Shrugged: Part II,5.4,Samantha Mathis,Jason Beghe,Esai Morales,https://www.imdb.com/title/tt1985017/,tt1985017,John Putch
Rosewater,76.0,67.0,English,R,2014-11-14,10000000,3128941,3185717,2014-11-14,10000000,3128941,3185717,Rosewater,6.6,Gael García Bernal,Kim Bodnia,Dimitri Leonidas,https://www.imdb.com/title/tt2752688/,tt2752688,Jon Stewart
The House of Mirth,82.0,72.0,English,PG,2000-12-22,10000000,3041803,5149131,2000-12-22,10000000,3041803,5149131,The House of Mirth,7.0,Gillian Anderson,Dan Aykroyd,Eleanor Bron,https://www.imdb.com/title/tt0200720/,tt0200720,Terence Davies
Peaceful Warrior,25.0,76.0,English,PG-13,2006-06-02,10000000,2893666,3260179,2006-06-02,10000000,2893666,3260179,Peaceful Warrior,7.2,Scott Mechlowicz,Nick Nolte,Amy Smart,https://www.imdb.com/title/tt0438315/,tt0438315,Victor Salva
Bucky Larson: Born to Be a Star,3.0,25.0,English,R,2011-09-09,10000000,2529395,2529395,2011-09-09,10000000,2529395,2529395,Bucky Larson: Born to Be a Star,3.3,Nick Swardson,Don Johnson,Christina Ricci,https://www.imdb.com/title/tt1411664/,tt1411664,Tom Brady
Hillsong: Let Hope Rise,60.0,78.0,English,PG,2016-09-16,10000000,2394725,2678525,2016-09-16,10000000,2394725,2678525,Hillsong: Let Hope Rise,6.4,Michael Guy Chislett,Matt Crocker,Adam Crosariol,https://www.imdb.com/title/tt3850544/,tt3850544,Michael John Warren
Bamboozled,53.0,74.0,English,R,2000-10-06,10000000,2185266,2373937,2000-10-06,10000000,2185266,2373937,Bamboozled,6.6,Damon Wayans,Savion Glover,Jada Pinkett Smith,https://www.imdb.com/title/tt0215545/,tt0215545,Spike Lee
The Iceman,66.0,62.0,English,R,2013-05-03,10000000,1930282,3623609,2013-05-03,10000000,1930282,3623609,The Iceman,6.8,Michael Shannon,Chris Evans,James Franco,https://www.imdb.com/title/tt1491044/,tt1491044,Ariel Vromen
Testament of Youth,84.0,78.0,English,PG-13,2015-01-16,10000000,1822250,6646669,2015-01-16,10000000,1822250,6646669,Testament of Youth,7.3,Alicia Vikander,Kit Harington,Taron Egerton,https://www.imdb.com/title/tt1441953/,tt1441953,James Kent
Free Fire,70.0,52.0,English,R,2017-03-31,10000000,1799322,3793739,2017-03-31,10000000,1799322,3793739,Free Fire,6.3,Sharlto Copley,Brie Larson,Armie Hammer,https://www.imdb.com/title/tt4158096/,tt4158096,Ben Wheatley
A Better Life,85.0,79.0,English,PG-13,2011-06-24,10000000,1759252,1884251,2011-06-24,10000000,1759252,1884251,A Better Life,7.2,Demián Bichir,José Julián,Eddie 'Piolin' Sotelo,https://www.imdb.com/title/tt1554091/,tt1554091,Chris Weitz
Spider,93.0,98.0,English,PG-13,2003-02-28,10000000,1641788,1641788,2003-02-28,10000000,1641788,1641788,Spider,6.8,Ralph Fiennes,Miranda Richardson,Gabriel Byrne,https://www.imdb.com/title/tt0278731/,tt0278731,David Cronenberg
Gun Shy,0.0,40.0,English,R,2000-02-04,10000000,1638202,1638202,2000-02-04,10000000,1638202,1638202,Gun Shy,5.6,Liam Neeson,Sandra Bullock,Oliver Platt,https://www.imdb.com/title/tt0171356/,tt0171356,Eric Blakeney
Nicholas Nickleby,78.0,76.0,English,PG,2002-12-27,10000000,1562800,3311924,2002-12-27,10000000,1562800,3311924,Nicholas Nickleby,7.2,Charlie Hunnam,Jamie Bell,Christopher Plummer,https://www.imdb.com/title/tt0309912/,tt0309912,Douglas McGrath
The Joneses,62.0,47.0,English,R,2010-04-16,10000000,1475746,3541565,2010-04-16,10000000,1475746,3541565,The Joneses,6.5,Demi Moore,David Duchovny,Amber Heard,https://www.imdb.com/title/tt1285309/,tt1285309,Derrick Borte
Krrish,88.0,72.0,Rakesh Roshan,,2006-06-23,10000000,1430721,32430721,2006-06-23,10000000,1430721,32430721,Krrish,6.4,Hrithik Roshan,Priyanka Chopra Jonas,Rekha,https://www.imdb.com/title/tt0432637/,tt0432637,Rakesh Roshan
Killer Joe,80.0,61.0,English,TVMA,2012-06-29,10000000,1291645,4659110,2012-06-29,10000000,1291645,4659110,Killer Joe,6.7,Matthew McConaughey,Emile Hirsch,Juno Temple,https://www.imdb.com/title/tt1726669/,tt1726669,William Friedkin
Churchill,49.0,54.0,English,PG,2017-03-30,10000000,1279681,7582196,2017-03-30,10000000,1279681,7582196,Churchill,6.1,Brian Cox,Miranda Richardson,John Slattery,https://www.imdb.com/title/tt2674454/,tt2674454,Jonathan Teplitzky
Cecil B. Demented,53.0,67.0,English,R,2000-08-11,10000000,1276984,1953882,2000-08-11,10000000,1276984,1953882,Cecil B. Demented,6.2,Melanie Griffith,Stephen Dorff,Alicia Witt,https://www.imdb.com/title/tt0173716/,tt0173716,John Waters
50 to 1,29.0,71.0,English,PG-13,2014-03-21,10000000,1069454,1069454,2014-03-21,10000000,1069454,1069454,50 to 1,6.4,Skeet Ulrich,Christian Kane,William Devane,https://www.imdb.com/title/tt1777595/,tt1777595,Jim Wilson
Owning Mahowny,78.0,75.0,English,R,2003-05-02,10000000,1011054,1147871,2003-05-02,10000000,1011054,1147871,Owning Mahowny,7.0,Philip Seymour Hoffman,Minnie Driver,John Hurt,https://www.imdb.com/title/tt0285861/,tt0285861,Richard Kwietniowski
The Ten Commandments,86.0,87.0,English,G,2007-10-19,10000000,952820,1051907,2007-10-19,10000000,952820,1051907,The Ten Commandments,3.0,Ben Kingsley,Christian Slater,Elliott Gould,https://www.imdb.com/title/tt0955411/,tt0955411,Cecil B. DeMille
