title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id,director
The Watcher,5.3,James Spader,Keanu Reeves,Marisa Tomei,https://www.imdb.com/title/tt0204626/,tt0204626,Joe Charbanic
21 Bridges,6.6,Chadwick Boseman,Sienna Miller,J.K. Simmons,https://www.imdb.com/title/tt8688634/,tt8688634,Brian Kirk
Safe,6.5,Jason Statham,Catherine Chan,Chris Sarandon,https://www.imdb.com/title/tt1656190/,tt1656190,
Doomsday,5.9,Rhona Mitra,Bob Hoskins,Alexander Siddig,https://www.imdb.com/title/tt0483607/,tt0483607,Neil Marshall
Goal! The Dream Begins,6.7,Kuno Becker,Alessandro Nivola,Anna Friel,https://www.imdb.com/title/tt0380389/,tt0380389,Danny Cannon
Bridesmaids,6.8,Kristen Wiig,Maya Rudolph,Rose Byrne,https://www.imdb.com/title/tt1478338/,tt1478338,Paul Feig
The Reader,7.6,Kate Winslet,Ralph Fiennes,Bruno Ganz,https://www.imdb.com/title/tt0976051/,tt0976051,Stephen Daldry
The Big Wedding,5.6,Robert De Niro,Diane Keaton,Katherine Heigl,https://www.imdb.com/title/tt1931435/,tt1931435,Justin Zackham
Wanderlust,5.6,Jennifer Aniston,Paul Rudd,Malin Akerman,https://www.imdb.com/title/tt1655460/,tt1655460,David Wain
Elf,7.0,Will Ferrell,James Caan,Bob Newhart,https://www.imdb.com/title/tt0319343/,tt0319343,Jon Favreau
This is the End,6.6,James Franco,Jonah Hill,Seth Rogen,https://www.imdb.com/title/tt1245492/,tt1245492,Evan Goldberg
Snow Dogs,5.2,Cuba Gooding Jr.,James Coburn,Sisqó,https://www.imdb.com/title/tt0281373/,tt0281373,Brian Levant
Nacho Libre,5.8,Jack Black,Ana de la Reguera,Héctor Jiménez,https://www.imdb.com/title/tt0457510/,tt0457510,Jared Hess
Takers,6.2,Chris Brown,Hayden Christensen,Matt Dillon,https://www.imdb.com/title/tt1135084/,tt1135084,John Luessenhop
Source Code,7.5,Jake Gyllenhaal,Michelle Monaghan,Vera Farmiga,https://www.imdb.com/title/tt0945513/,tt0945513,Duncan Jones
Men of Honor,7.2,Cuba Gooding Jr.,Robert De Niro,Charlize Theron,https://www.imdb.com/title/tt0203019/,tt0203019,George Tillman Jr.
I Feel Pretty,5.6,Amy Schumer,Michelle Williams,Emily Ratajkowski,https://www.imdb.com/title/tt6791096/,tt6791096,Abby Kohn
The Transporter 2,6.3,Jason Statham,Amber Valletta,Kate Nauta,https://www.imdb.com/title/tt0388482/,tt0388482,Louis Leterrier
"Big Mommas: Like Father, Like Son",4.4,Martin Lawrence,Brandon T. Jackson,Jessica Lucas,https://www.imdb.com/title/tt1464174/,tt1464174,John Whitesell
The Number 23,6.4,Jim Carrey,Virginia Madsen,Logan Lerman,https://www.imdb.com/title/tt0481369/,tt0481369,Joel Schumacher
Dreamer: Inspired by a True Story,6.8,Kurt Russell,Dakota Fanning,Oded Fehr,https://www.imdb.com/title/tt0418647/,tt0418647,John Gatins
Bombshell,6.8,Charlize Theron,Nicole Kidman,Margot Robbie,https://www.imdb.com/title/tt6394270/,tt6394270,Jay Roach
A History of Violence,7.4,Viggo Mortensen,Maria Bello,Ed Harris,https://www.imdb.com/title/tt0399146/,tt0399146,David Cronenberg
The Incredible Burt Wonderstone,5.9,Steve Carell,Luke Vanek,Steve Buscemi,https://www.imdb.com/title/tt0790628/,tt0790628,Don Scardino
