rating_check,runtime,genre
7.3,['107'],"['Animation', 'Action', 'Adventure', 'Family', 'Mystery']"
4.8,['100'],"['Action', 'Adventure', 'Sci-Fi']"
6.6,['165'],"['Adventure', 'Drama', 'Romance', 'War', 'Western']"
5.6,['96'],"['Action', 'Adventure', 'Comedy', 'Crime', 'Fantasy', 'Sci-Fi']"
7.4,['104'],"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
4.9,['117'],"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Thriller']"
6.4,['82'],"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy']"
8.1,['137'],"['Action', 'Drama', 'Sci-Fi', 'Thriller']"
6.2,['98'],"['Adventure', 'Comedy', 'Family', 'Fantasy']"
8.2,['130'],"['Adventure', 'Fantasy', 'Mystery']"
6.6,['123'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
7.6,['152'],"['Adventure', 'Family', 'Fantasy']"
6.7,['123'],"['Action', 'Adventure', 'Comedy', 'Fantasy']"
7.7,['146'],"['Adventure', 'Family', 'Fantasy', 'Mystery']"
6.6,['149'],"['Mystery', 'Thriller']"
7.4,['134'],"['Action', 'Sci-Fi', 'Thriller']"
7.3,['130'],"['Action', 'Crime', 'Thriller']"
5.8,['101'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
7.4,['129'],"['Action', 'Adventure', 'Mystery']"
6.4,['124'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
6.3,['97'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
5.8,['106'],"['Action', 'Adventure', 'Fantasy']"
6.5,['92'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']"
7.0,['124'],"['Adventure', 'Mystery', 'Sci-Fi']"
6.6,['135'],"['Action', 'Adventure', 'Thriller']"
5.8,['102'],"['Action', 'Adventure', 'Thriller']"
6.2,['118'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
5.7,['115'],"['Action', 'Adventure', 'Sci-Fi']"
5.6,['104'],"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']"
6.2,['104'],"['Comedy', 'Family', 'Fantasy']"
6.1,['123'],"['Action', 'Adventure', 'Thriller']"
6.4,['130'],"['Action', 'Adventure', 'Drama', 'Thriller']"
6.6,['123'],"['Action', 'Thriller']"
5.6,['92'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
7.9,['127'],"['Adventure', 'Drama', 'Fantasy']"
5.2,['110'],"['Action', 'Fantasy', 'Thriller']"
6.1,['107'],"['Action', 'Adventure', 'Sci-Fi']"
4.9,['106'],"['Action', 'Adventure', 'Comedy', 'Crime']"
6.6,['109'],"['Action', 'Drama', 'Sci-Fi']"
7.0,['124'],"['Action', 'Adventure', 'Sci-Fi']"
5.9,['124'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
5.5,['77'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
6.2,['117'],"['Action', 'Crime', 'Sci-Fi', 'Thriller']"
6.6,['119'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
4.3,['100'],"['Action', 'Adventure', 'Sci-Fi']"
6.0,['135'],"['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Sci-Fi', 'Sport']"
6.9,['136'],"['Action', 'Sci-Fi', 'Thriller']"
5.4,['121'],"['Comedy', 'Drama', 'Romance']"
6.3,['109'],"['Action', 'Adventure', 'Comedy']"
6.7,['112'],"['Action', 'Adventure', 'Sci-Fi']"
7.6,['140'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
6.6,['142'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
8.1,['92'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
6.7,['126'],"['Action', 'Sci-Fi']"
6.1,['114'],"['Action', 'Adventure', 'Drama', 'Fantasy']"
6.1,['134'],"['Action', 'Drama', 'War']"
5.1,['116'],"['Adventure', 'Comedy', 'Family', 'Fantasy']"
4.9,['85'],"['Adventure', 'Comedy', 'Family', 'Fantasy']"
6.7,['108'],"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']"
7.7,['119'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
7.7,['91'],"['Action', 'Drama', 'Sci-Fi']"
6.4,['108'],"['Adventure', 'Comedy', 'Family', 'Fantasy']"
6.5,['120'],"['Action', 'Comedy', 'Crime', 'Thriller']"
6.1,['114'],"['Action', 'Adventure', 'Thriller']"
5.4,['103'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
7.1,['128'],"['Action', 'Thriller']"
