title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id
The Descent,7.2,Shauna Macdonald,Natalie Mendoza,Alex Reid,https://www.imdb.com/title/tt0435625/,tt0435625
Michael Jordan to the MAX,7.4,Michael Jordan,Phil Jackson,Doug Collins,https://www.imdb.com/title/tt0245280/,tt0245280
"House of 1,000 Corpses",6.0,Sid Haig,Karen Black,Bill Moseley,https://www.imdb.com/title/tt0251736/,tt0251736
Get Low,7.0,Robert Duvall,Bill Murray,Sissy Spacek,https://www.imdb.com/title/tt1194263/,tt1194263
The Mighty Macs,6.5,Carla Gugino,Marley Shelton,Ellen Burstyn,https://www.imdb.com/title/tt1034324/,tt1034324
We Need to Talk About Kevin,7.5,Tilda Swinton,John C. Reilly,Ezra Miller,https://www.imdb.com/title/tt1242460/,tt1242460
Factory Girl,6.4,Sienna Miller,Guy Pearce,Hayden Christensen,https://www.imdb.com/title/tt0432402/,tt0432402
Mother and Child,7.2,Naomi Watts,Annette Bening,Kerry Washington,https://www.imdb.com/title/tt1121977/,tt1121977
Gerry,6.0,Casey Affleck,Matt Damon,,https://www.imdb.com/title/tt0302674/,tt0302674
The Heart of Me,6.6,Helena Bonham Carter,Olivia Williams,Paul Bettany,https://www.imdb.com/title/tt0301390/,tt0301390
Twixt,4.7,Val Kilmer,Bruce Dern,Elle Fanning,https://www.imdb.com/title/tt1756851/,tt1756851
Aimée & Jaguar,7.2,Maria Schrader,Juliane Köhler,Johanna Wokalek,https://www.imdb.com/title/tt0130444/,tt0130444
Bran Nue Dae,6.2,Rocky McKenzie,Jessica Mauboy,Ernie Dingo,https://www.imdb.com/title/tt1148165/,tt1148165
Tropa de Elite,8.0,Wagner Moura,André Ramiro,Caio Junqueira,https://www.imdb.com/title/tt0861739/,tt0861739
Hannah Montana and Miley Cyrus: Best of Both Wo…,2.6,Miley Cyrus,The Jonas Brothers,Kenny Ortega,https://www.imdb.com/title/tt1127884/,tt1127884
Nowhere in Africa,7.5,Juliane Köhler,Merab Ninidze,Matthias Habich,https://www.imdb.com/title/tt0161860/,tt0161860
Layer Cake,7.3,Daniel Craig,Sienna Miller,Michael Gambon,https://www.imdb.com/title/tt0375912/,tt0375912
Die Fälscher,7.5,Karl Markovics,August Diehl,Devid Striesow,https://www.imdb.com/title/tt0813547/,tt0813547
Gomorra,7.0,Gianfelice Imparato,Salvatore Abbruzzese,Toni Servillo,https://www.imdb.com/title/tt0929425/,tt0929425
Fahrenheit 9/11,7.5,Michael Moore,George W. Bush,Ben Affleck,https://www.imdb.com/title/tt0361596/,tt0361596
Bernie,6.8,Jack Black,Shirley MacLaine,Matthew McConaughey,https://www.imdb.com/title/tt1704573/,tt1704573
Dolphins and Whales Tribes of the Ocean 3D,6.1,Daryl Hannah,Charlotte Rampling,,https://www.imdb.com/title/tt0996382/,tt0996382
City Island,7.4,Andy Garcia,Julianna Margulies,Steven Strait,https://www.imdb.com/title/tt1174730/,tt1174730
The Virgin Suicides,7.2,Kirsten Dunst,Josh Hartnett,James Woods,https://www.imdb.com/title/tt0159097/,tt0159097
Jûsan-nin no shikaku,7.5,Kôji Yakusho,Takayuki Yamada,Yûsuke Iseya,https://www.imdb.com/title/tt1436045/,tt1436045
Akmareul Boatda (??? ???),7.8,Lee Byung-hun,Choi Min-sik,Jeon Gook-hwan,https://www.imdb.com/title/tt1588170/,tt1588170
L'auberge espagnole,7.3,Romain Duris,Judith Godrèche,Kelly Reilly,https://www.imdb.com/title/tt0283900/,tt0283900
Tom yum goong,7.0,Tony Jaa,Nathan Jones,Xing Jin,https://www.imdb.com/title/tt0427954/,tt0427954
Valhalla Rising,6.0,Mads Mikkelsen,Maarten Stevenson,Alexander Morton,https://www.imdb.com/title/tt0862467/,tt0862467
[Rec] 2,6.5,Jonathan D. Mellor,Manuela Velasco,Óscar Zafra,https://www.imdb.com/title/tt1245112/,tt1245112
Haevnen,7.6,Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,https://www.imdb.com/title/tt1340107/,tt1340107
Irreversible,7.3,Monica Bellucci,Vincent Cassel,Albert Dupontel,https://www.imdb.com/title/tt0290673/,tt0290673
Não Pare na Pista: A Melhor História de Paulo C…,5.5,Júlio Andrade,Ravel Andrade,Fabiana Gugli,https://www.imdb.com/title/tt3006814/,tt3006814
Tao Jie,7.6,Andy Lau,Deannie Ip,Hailu Qin,https://www.imdb.com/title/tt2008006/,tt2008006
La Vie d'Adèle – Chapitres 1 & 2,7.7,Léa Seydoux,Adèle Exarchopoulos,Salim Kechiouche,https://www.imdb.com/title/tt2278871/,tt2278871
Hodejegerne,7.5,Aksel Hennie,Synnøve Macody Lund,Nikolaj Coster-Waldau,https://www.imdb.com/title/tt1614989/,tt1614989
Saint Ralph,7.4,Adam Butcher,Campbell Scott,Jennifer Tilly,https://www.imdb.com/title/tt0384488/,tt0384488
Oculus,6.5,Karen Gillan,Brenton Thwaites,Katee Sackhoff,https://www.imdb.com/title/tt2388715/,tt2388715
Memento,8.5,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,https://www.imdb.com/title/tt0209144/,tt0209144
Still Alice,7.5,Julianne Moore,Alec Baldwin,Kristen Stewart,https://www.imdb.com/title/tt3316960/,tt3316960
O (Othello),6.1,Mekhi Phifer,Julia Stiles,Martin Sheen,https://www.imdb.com/title/tt0184791/,tt0184791
Spring Breakers,5.3,Vanessa Hudgens,Selena Gomez,Ashley Benson,https://www.imdb.com/title/tt2101441/,tt2101441
Y Tu Mamá También,7.7,Maribel Verdú,Gael García Bernal,Daniel Giménez Cacho,https://www.imdb.com/title/tt0245574/,tt0245574
Hillary’s America: The Secret History of the De…,5.2,Dinesh D'Souza,Jonah Goldberg,David Guyette,https://www.imdb.com/title/tt5646136/,tt5646136
Sunshine Cleaning,6.8,Amy Adams,Emily Blunt,Alan Arkin,https://www.imdb.com/title/tt0862846/,tt0862846
The Belko Experiment,6.1,John Gallagher Jr.,Tony Goldwyn,Adria Arjona,https://www.imdb.com/title/tt1082807/,tt1082807
Fahrenheit 11/9,7.0,Jim Acosta,Roger Ailes,Brooke Baldwin,https://www.imdb.com/title/tt8632862/,tt8632862
Sea Rex 3D: Journey to a Prehistoric World,6.6,Guillaume Denaiffe,Norbert Ferrer,Chloe Hollings,https://www.imdb.com/title/tt1529567/,tt1529567
Des Hommes et Des Dieux,7.2,Lambert Wilson,Michael Lonsdale,Olivier Rabourdin,https://www.imdb.com/title/tt1588337/,tt1588337
Green Room,7.0,Anton Yelchin,Imogen Poots,Alia Shawkat,https://www.imdb.com/title/tt4062536/,tt4062536
Thoroughbreds,6.6,Olivia Cooke,Anya Taylor-Joy,Anton Yelchin,https://www.imdb.com/title/tt5649108/,tt5649108
Everything Must Go,6.4,Will Ferrell,Rebecca Hall,Christopher Jordan Wallace,https://www.imdb.com/title/tt1531663/,tt1531663
American Teen,6.4,Hannah Bailey,Jake Tusing,Megan Krizmanich,https://www.imdb.com/title/tt0486259/,tt0486259
Jimi: All is By My Side,5.7,André 3000,Hayley Atwell,Imogen Poots,https://www.imdb.com/title/tt2402085/,tt2402085
Tucker & Dale vs. Evil,7.5,Tyler Labine,Alan Tudyk,Katrina Bowden,https://www.imdb.com/title/tt1465522/,tt1465522
Mientras duermes,7.2,Luis Tosar,Marta Etura,Alberto San Juan,https://www.imdb.com/title/tt1437358/,tt1437358
Obsluhoval jsem anglického krále,7.4,Ivan Barnev,Oldrich Kaiser,Julia Jentsch,https://www.imdb.com/title/tt0284363/,tt0284363
Soul Kitchen,7.2,Adam Bousdoukos,Moritz Bleibtreu,Pheline Roggan,https://www.imdb.com/title/tt1244668/,tt1244668
Hostel,5.9,Jay Hernandez,Derek Richardson,Eythor Gudjonsson,https://www.imdb.com/title/tt0450278/,tt0450278
Tristram Shandy: A Cock and Bull Story,6.7,Steve Coogan,Jeremy Northam,Rob Brydon,https://www.imdb.com/title/tt0423409/,tt0423409
Dear Frankie,7.7,Emily Mortimer,Jack McElhone,Gerard Butler,https://www.imdb.com/title/tt0377752/,tt0377752
